duty, angle
10, 262.227264
10, 266.045441
10, 270.545441
10, 266.863647
10, 268.909088
10, 267.000000
10, 270.136353
10, 267.272736
10, 265.227264
10, 267.681824
10, 265.227264
10, 264.681824
10, 277.909088
10, 289.909088
10, 287.454559
10, 289.227264
10, 292.500000
10, 296.181824
10, 296.181824
10, 300.000000
10, 298.772736
10, 304.090912
10, 305.045441
10, 306.681824
10, 309.000000
10, 312.409088
10, 310.227264
10, 315.681824
10, 317.318176
10, 321.681824
10, 317.590912
10, 324.409088
10, 327.954559
10, 330.136353
10, 334.636353
10, 333.409088
10, 340.500000
10, 341.590912
10, 341.863647
10, 347.590912
10, 350.045441
10, 355.909088
10, 356.454559
10, 357.818176
10, 42.545456
10, 48.136364
10, 50.181820
10, 51.136364
10, 59.181820
10, 58.363636
10, 59.454544
10, 64.227272
10, 66.681816
10, 67.636360
10, 68.454544
10, 73.772728
10, 76.090912
10, 79.500000
10, 81.545456
10, 82.363640
10, 86.454544
10, 89.454544
10, 90.272728
10, 92.727272
10, 95.590912
10, 95.727272
10, 96.545456
10, 102.000000
10, 104.181816
10, 107.045456
10, 107.045456
10, 110.590912
10, 111.136360
10, 112.227272
10, 114.545456
10, 113.590912
10, 111.409088
10, 118.909088
10, 115.227272
10, 119.454544
10, 121.227272
10, 122.181816
10, 122.454544
10, 126.681816
10, 128.045456
10, 132.954544
10, 133.909088
10, 134.590912
10, 131.181824
10, 134.454544
10, 133.363632
10, 135.136368
10, 140.318176
10, 140.181824
10, 140.590912
10, 144.136368
10, 142.090912
10, 142.363632
10, 143.590912
10, 143.181824
10, 147.409088
10, 144.954544
10, 154.363632
10, 152.318176
10, 151.363632
10, 158.181824
10, 158.454544
10, 152.590912
10, 163.227280
10, 159.136368
10, 163.090912
10, 163.090912
10, 168.272720
10, 164.727280
10, 166.772720
10, 170.045456
10, 173.727280
10, 176.863632
10, 177.272720
10, 182.045456
10, 184.636368
10, 184.636368
10, 186.000000
10, 188.045456
10, 186.000000
10, 193.363632
10, 196.090912
10, 201.136368
10, 203.045456
10, 206.454544
10, 213.272720
10, 215.045456
10, 215.454544
10, 218.863632
10, 219.954544
10, 225.681824
10, 225.409088
10, 231.000000
10, 231.545456
10, 233.863632
10, 235.500000
10, 240.136368
10, 241.909088
10, 241.636368
10, 246.545456
10, 245.863632
10, 248.181824
10, 249.681824
10, 251.727280
10, 253.363632
10, 253.090912
10, 253.636368
10, 255.136368
10, 258.000000
10, 261.681824
10, 266.181824
10, 261.681824
10, 264.681824
10, 266.454559
10, 268.909088
10, 267.954559
10, 268.909088
10, 268.909088
10, 271.772736
10, 273.681824
10, 276.409088
10, 274.227264
10, 278.181824
10, 275.181824
10, 278.727264
10, 278.181824
10, 282.000000
10, 284.863647
10, 284.590912
10, 286.636353
10, 288.409088
10, 289.227264
10, 291.136353
10, 288.954559
10, 291.000000
10, 298.772736
10, 302.181824
10, 298.227264
10, 301.500000
10, 300.545441
10, 302.454559
10, 306.818176
10, 310.500000
10, 310.500000
10, 312.954559
10, 313.227264
10, 320.045441
10, 321.954559
10, 321.681824
10, 335.045441
10, 326.454559
10, 327.954559
10, 333.409088
10, 342.272736
10, 342.272736
10, 341.863647
10, 346.909088
10, 348.272736
10, 348.409088
10, 357.409088
10, 358.909088
10, 359.045441
10, 48.409092
10, 51.000000
10, 52.090908
10, 54.681820
10, 57.136364
10, 59.863636
10, 64.227272
10, 62.181820
10, 60.545456
10, 67.227272
10, 67.636360
10, 75.409088
10, 77.727272
10, 77.727272
10, 82.227272
10, 83.045456
10, 86.181816
10, 88.909088
10, 89.863640
10, 88.909088
10, 94.363640
10, 96.000000
10, 96.000000
10, 102.000000
10, 102.000000
10, 106.090912
10, 107.454544
10, 105.681816
10, 113.590912
10, 112.772728
10, 116.318184
10, 115.363640
10, 122.590912
10, 119.863640
10, 119.454544
10, 124.500000
10, 123.545456
10, 127.909088
10, 128.590912
10, 132.954544
10, 131.863632
10, 133.500000
10, 133.636368
10, 138.136368
10, 135.409088
10, 135.409088
10, 137.181824
10, 137.454544
10, 144.272720
10, 141.818176
10, 144.954544
10, 145.909088
10, 145.636368
10, 143.318176
10, 145.772720
10, 147.545456
10, 143.863632
10, 150.272720
10, 146.863632
10, 147.681824
10, 149.454544
10, 153.000000
10, 154.363632
10, 157.772720
10, 155.863632
10, 160.090912
10, 161.318176
10, 160.772720
10, 161.454544
10, 166.363632
10, 168.000000
10, 166.636368
10, 172.500000
10, 171.000000
10, 170.727280
10, 170.727280
10, 173.727280
10, 174.681824
10, 176.318176
10, 185.318176
10, 181.909088
10, 185.318176
10, 189.954544
10, 194.454544
10, 194.454544
10, 194.318176
10, 199.090912
10, 203.045456
10, 207.954544
10, 207.272720
10, 208.772720
10, 220.772720
10, 215.590912
10, 221.045456
10, 226.227280
10, 225.000000
10, 233.045456
10, 231.000000
10, 234.136368
10, 238.636368
10, 240.136368
10, 239.454544
10, 239.045456
10, 245.863632
10, 247.090912
10, 251.454544
10, 253.090912
10, 249.136368
10, 258.409088
10, 252.818176
10, 255.409088
10, 259.500000
10, 258.545441
10, 255.954544
10, 261.409088
10, 264.818176
10, 261.681824
10, 266.863647
10, 266.454559
10, 268.909088
10, 269.454559
10, 267.681824
10, 266.863647
10, 269.454559
10, 271.772736
10, 275.318176
