I (6956) Encoder_PWM: Angle: 118.909088, RPM: 106.909058
I (6966) Encoder_PWM: Angle: 120.818184, RPM: 30.545532
I (6976) Encoder_PWM: Angle: 118.363640, RPM: 5720.727539
I (6986) Encoder_PWM: Angle: 117.545456, RPM: 5746.909180
I (6996) Encoder_PWM: Angle: 118.090912, RPM: 8.727295
I (7006) Encoder_PWM: Angle: 123.545456, RPM: 87.272705
I (7016) Encoder_PWM: Angle: 126.409088, RPM: 45.818115
I (7026) Encoder_PWM: Angle: 124.363640, RPM: 5727.272949
I (7036) Encoder_PWM: Angle: 127.909088, RPM: 56.727173
I (7046) Encoder_PWM: Angle: 130.090912, RPM: 34.909180
I (7056) Encoder_PWM: Angle: 129.818176, RPM: 5755.636230
I (7066) Encoder_PWM: Angle: 131.454544, RPM: 26.181885
I (7076) Encoder_PWM: Angle: 130.909088, RPM: 5751.272461
I (7086) Encoder_PWM: Angle: 133.090912, RPM: 34.909180
I (7096) Encoder_PWM: Angle: 133.363632, RPM: 4.363525
I (7106) Encoder_PWM: Angle: 136.909088, RPM: 56.727295
I (7116) Encoder_PWM: Angle: 136.909088, RPM: 0.000000
I (7126) Encoder_PWM: Angle: 139.227280, RPM: 37.091064
I (7136) Encoder_PWM: Angle: 143.181824, RPM: 63.272705
I (7146) Encoder_PWM: Angle: 139.772720, RPM: 5705.454102
I (7156) Encoder_PWM: Angle: 144.272720, RPM: 72.000000
I (7166) Encoder_PWM: Angle: 145.363632, RPM: 17.454590
I (7176) Encoder_PWM: Angle: 150.954544, RPM: 89.454590
I (7186) Encoder_PWM: Angle: 149.590912, RPM: 5738.181641
I (7196) Encoder_PWM: Angle: 157.227280, RPM: 122.181885
I (7206) Encoder_PWM: Angle: 156.545456, RPM: 5749.090820
I (7216) Encoder_PWM: Angle: 156.000000, RPM: 5751.272461
I (7226) Encoder_PWM: Angle: 160.636368, RPM: 74.181885
I (7236) Encoder_PWM: Angle: 164.454544, RPM: 61.090820
I (7246) Encoder_PWM: Angle: 168.818176, RPM: 69.818115
I (7256) Encoder_PWM: Angle: 170.454544, RPM: 26.181885
I (7266) Encoder_PWM: Angle: 172.500000, RPM: 32.727295
I (7276) Encoder_PWM: Angle: 181.909088, RPM: 150.545410
I (7286) Encoder_PWM: Angle: 180.409088, RPM: 5736.000000
I (7296) Encoder_PWM: Angle: 188.863632, RPM: 135.272705
I (7306) Encoder_PWM: Angle: 193.227280, RPM: 69.818359
I (7316) Encoder_PWM: Angle: 198.409088, RPM: 82.908936
I (7326) Encoder_PWM: Angle: 200.454544, RPM: 32.727295
I (7336) Encoder_PWM: Angle: 204.681824, RPM: 67.636475
I (7346) Encoder_PWM: Angle: 205.090912, RPM: 6.545410
I (7356) Encoder_PWM: Angle: 210.545456, RPM: 87.272705
I (7366) Encoder_PWM: Angle: 211.772720, RPM: 19.636230
I (7376) Encoder_PWM: Angle: 217.500000, RPM: 91.636475
I (7386) Encoder_PWM: Angle: 215.727280, RPM: 5731.636719
I (7396) Encoder_PWM: Angle: 219.954544, RPM: 67.636230
I (7406) Encoder_PWM: Angle: 225.136368, RPM: 82.909180
I (7416) Encoder_PWM: Angle: 227.318176, RPM: 34.908936
I (7426) Encoder_PWM: Angle: 227.318176, RPM: 0.000000
